DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,AT,2020,9954.686,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,AT,2021,10617.882,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,BA,2020,1.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,BE,2020,26777.100,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,BE,2021,22516.700,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,BG,2020,2292.316,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,BG,2021,3045.672,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,CY,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,CY,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,CZ,2020,6848.360,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,CZ,2021,7291.373,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,DE,2020,96285.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,DE,2021,95126.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,DK,2020,1184.095,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,DK,2021,1536.049,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,EE,2020,26.392,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,EE,2021,41.350,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,EL,2020,19228.167,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,EL,2021,22488.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,ES,2020,69739.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,ES,2021,71502.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,EU27_2020,2020,560997.119,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,EU27_2020,2021,551812.170,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,FI,2020,3991.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,FI,2021,3826.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,FR,2020,35284.837,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,FR,2021,33355.004,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,GE,2020,2820.800,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,HR,2020,3437.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,HR,2021,3095.500,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,HU,2020,9091.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,HU,2021,9653.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,IE,2020,16236.382,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,IE,2021,15155.530,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,IS,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,IT,2020,133682.784,
